ID,logFC,AveExpr,t,P.Value,adj.P.Val
COL12A1,-1.43941319860122,6.58697250828369,-5.64070248777888,4.42E-07,0.000318595662814
ABI3BP,-1.94005333734877,4.97244764771906,-5.61878065298463,4.81E-07,0.000338863880606
COL1A1,-1.67980586378541,8.60698969918947,-5.61013023720471,4.97E-07,0.00034268109057
SPOCK3,3.11534805625413,-1.85952440154217,5.59417415424542,5.28E-07,0.0003565449776
AOX1,-1.90325554603858,2.32368208635238,-5.57993022765466,5.58E-07,0.000368694792992
TDO2,-2.02340716897467,1.08653893985993,-5.55738576364389,6.08E-07,0.000388743159719
COL5A1,-1.22714295702953,5.97233510787646,-5.55542657809513,6.13E-07,0.000388743159719
COL14A1,-1.27965178370857,5.20979826653755,-5.53766771239542,6.56E-07,0.000407892592057
VCAM1,-1.41726755188511,4.08409389840222,-5.49441139051133,7.74E-07,0.000471860386203
SLC6A1,2.12662611177684,0.998622511800737,5.48621507391592,7.98E-07,0.000477648817414
CCDC80,-1.36777178415748,5.35192259107341,-5.46529859653012,8.64E-07,0.000507677444336
CLDN11,2.01894157287316,1.29873214111672,5.44346854581953,9.39E-07,0.000535455681251
PODN,-2.23708319496772,0.90447287533016,-5.4417342890108,9.45E-07,0.000535455681251
BCAS1,2.57825012820886,0.276238699654853,5.42668003661286,1.00E-06,0.000557033281204
GLDN,2.45416342840581,1.0566102794816,5.40322719064124,1.09E-06,0.000589868870803
TCEAL2,3.1215926618375,-2.61325364083707,5.40250611656642,1.10E-06,0.000589868870803
RSPO3,-2.95496053665099,-1.06624977950316,-5.37889479348412,1.20E-06,0.000634348615123
NFATC1,-0.922292544903063,3.08540743829133,-5.34255809546055,1.38E-06,0.00071592671954
COL3A1,-1.42616694823539,8.99368242836221,-5.32560150088775,1.47E-06,0.000750985528391
GUCY1A3,-1.09041682532866,3.69704093763604,-5.31331519647373,1.54E-06,0.000762211698635
GAP43,2.86927052975595,-1.06837282047596,5.31326115481298,1.54E-06,0.000762211698635
ATP1A2,2.45109589457053,1.85627246725676,5.30189566873287,1.61E-06,0.000783363066602
SLC39A12,2.78234127740348,-2.41311123803262,5.26510261442025,1.84E-06,0.000886187489845
HBG2,3.55737542491269,-3.64507585361396,5.26082046514149,1.87E-06,0.000887138711621
GPM6A,3.08594248131401,-1.14457951277361,5.24089887032004,2.02E-06,0.000942071393434
IRF8,-1.59066306450007,3.83740457504603,-5.20354301995128,2.32E-06,0.001060560146622
COL6A2,-1.04144136944872,6.85298331350336,-5.20160282720618,2.34E-06,0.001060560146622
AOC3,-1.35579573215951,1.8065157974833,-5.18194237250823,2.52E-06,0.001125525898214
PDGFRA,-1.5522486625135,3.27496263837645,-5.11654043853532,3.22E-06,0.001409537477809
VGLL3,-1.69828318047623,0.59495421172227,-5.11425732089808,3.24E-06,0.001409537477809
ADRA2A,-3.09287324843967,-2.45651779853354,-5.10610836399111,3.34E-06,0.001416826482479
SLC38A11,1.77693190979809,1.91052618394246,5.10561738493322,3.35E-06,0.001416826482479
TMEM176A,-1.37915771291113,2.34216413112547,-5.09086495000486,3.54E-06,0.001477111148463
ANKRD20A4,1.16249422064119,2.74994931479359,5.0289070173885,4.46E-06,0.001831165300724
ELAVL3,2.43925717670743,-4.26346147785535,5.02337168209961,4.55E-06,0.001831165300724
CD1C,-2.63275804395978,-0.98154630575812,-5.01935596685506,4.62E-06,0.001831165300724
GRM3,2.15750437619521,-0.789626132262745,5.01914863469932,4.62E-06,0.001831165300724
ERG,-1.21043271773301,1.43388518203818,-5.00552747559831,4.86E-06,0.00189510513028
CCL19,-3.25668857258675,-1.15992915642297,-5.00319787464362,4.90E-06,0.00189510513028
GABRG2,2.36963594532615,-1.37346455940792,4.98559324111118,5.23E-06,0.001998121720638
ZFP36L1,-0.489097316636266,4.97404332284988,-4.96358501628324,5.67E-06,0.00213277720869
MEOX2,-2.90751095367174,-2.22456830154468,-4.96146442180395,5.72E-06,0.00213277720869
ADORA3,1.28107122672348,3.24217595548018,4.95309751900451,5.90E-06,0.00217398822681
ZIC1,2.15585961093568,0.473292038368178,4.92634432348261,6.51E-06,0.00237136772443
MPEG1,-1.16745787154399,4.07785347728671,-4.92153185417661,6.62E-06,0.002372642088076
HIVEP1,-0.430158206653711,6.72855630155646,-4.92001512759943,6.66E-06,0.002372642088076
NKX6-2,2.41938354939981,-4.20420634190216,4.91129218912887,6.88E-06,0.002422686977039
CACNA1A,1.93757564276038,0.955246703595444,4.89764769004996,7.23E-06,0.002494510627409
DNER,2.72940754142549,-0.443591817890573,4.89734524235742,7.24E-06,0.002494510627409
HSPE1P4,1.90662348793322,-1.46278376750059,4.88261008907181,7.64E-06,0.002604679602904
MT3,2.93258521035747,-3.67490489784737,4.868753745555,8.04E-06,0.002711126011357
BICC1,-1.25387283510564,3.35639888293414,-4.86299321608992,8.21E-06,0.002711590688688
SCN2A,1.75276194338585,2.00177794009869,4.86295423997746,8.21E-06,0.002711590688688
CD163,1.22375562987984,7.39314514745028,4.85218787117959,8.54E-06,0.002791417207192
SLC38A3,2.76579632886739,-1.75762054118924,4.84456415349099,8.78E-06,0.002840998756374
FABP4,-2.80580975689897,-1.61967508425722,-4.8408151596817,8.90E-06,0.002851082530653
MOBP,2.90291260816314,-3.27986645236996,4.83194097506477,9.19E-06,0.002915526811706
CXCL9,-2.12898927070432,2.87218570409557,-4.81571890118215,9.75E-06,0.003062624674574
MT2P1,1.62539904442856,-1.72033371471728,4.81107378656493,9.92E-06,0.003084376330643
CILP,-2.58732304792412,-0.938987418493998,-4.80790538090122,1.00E-05,0.003089895195081
C1orf87,2.28145017154724,-4.25806863300796,4.78608453497821,1.09E-05,0.00331314428668
TJP2,-0.581606378199191,4.82546649726456,-4.77993578045101,1.11E-05,0.003355774766752
XPNPEP2,-2.48673338980568,-2.59205640184109,-4.7681993728592,1.16E-05,0.00346891404643
SIM2,1.87343261783374,0.311696049321156,4.7458638657055,1.26E-05,0.003703649432641
SMARCA2,-0.53123427579151,7.32266610158814,-4.74499753946523,1.26E-05,0.003703649432641
MMP9,-1.87252314252115,3.51868986151763,-4.72324525950566,1.36E-05,0.003970391089252
VEGFC,-1.1304757232608,0.765260280568695,-4.70858239217832,1.44E-05,0.004148484578149
CADM2,2.68475287768771,-1.84406875692569,4.67368043924062,1.63E-05,0.004662760403137
CD40,-0.991822049029539,3.69552817158537,-4.665600929172,1.68E-05,0.004757550396751
WNT2,-3.09842629618503,-3.23247339986715,-4.65965763830723,1.72E-05,0.004788566351141
COL5A2,-0.894489587774777,6.98467513475379,-4.6588767737829,1.72E-05,0.004788566351141
COL1A2,-1.11773696244596,9.33889622461794,-4.65345485255013,1.76E-05,0.004812232143973
ATP8A2,1.33995874511771,1.53390350374995,4.65159935615626,1.77E-05,0.004812232143973
ADAM12,-0.802831680800622,4.81721429061311,-4.64620110602916,1.80E-05,0.004812232143973
CREG2,2.47901228051396,-4.14058531558762,4.64571489656255,1.80E-05,0.004812232143973
KIF5A,2.62383561725058,1.22345414996243,4.64556694381086,1.81E-05,0.004812232143973
GBP3,-0.797268610715233,4.90162479100448,-4.61894360058305,1.99E-05,0.005250624364255
THY1,-0.876089395488573,2.48262092621624,-4.6107487856987,2.05E-05,0.005362415913929
SULF2,-0.791194269138309,4.51161063148782,-4.60718127387506,2.07E-05,0.005386854575464
EEF1A2,2.29571141411889,-0.938087125092702,4.60324331833407,2.10E-05,0.0054189274163
MMP13,-2.99801352689767,-1.10053850508014,-4.59990662626362,2.13E-05,0.005439806819451
DPY19L3,0.421087962818828,6.34225602758065,4.58647627895157,2.23E-05,0.005661820060161
ARID1A,-0.330504231536322,8.33107737840114,-4.5693657657165,2.37E-05,0.005970843639342
CDH9,3.12241835950778,-3.70574096752191,4.55776737805679,2.47E-05,0.006093622734389
