p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,diffexpressed
1.52E-82,0.131350249648616,0.122,0.074,5.41E-78,NCK1-DT,MBM
1.52E-82,-0.161598203175046,0.451,0.532,5.41E-78,TSC22D1,ECM
1.62E-82,0.12248111276803,0.098,0.061,5.77E-78,NFKBIA,MBM
1.88E-82,0.196234563041334,0.399,0.337,6.69E-78,GTF2H1,MBM
1.91E-82,-0.125430056451316,0.176,0.244,6.82E-78,TNFRSF1A,ECM
1.95E-82,0.109158921978008,0.075,0.036,6.93E-78,MB21D2,MBM
1.99E-82,-0.186531449883125,0.253,0.325,7.09E-78,TBC1D20,ECM
1.99E-82,-0.180940840415635,0.35,0.426,7.10E-78,TPP2,ECM
2.13E-82,-0.048884558289616,0.019,0.046,7.59E-78,FBP2,ECM
2.13E-82,-0.194408999400252,0.682,0.737,7.61E-78,ARIH1,ECM
2.21E-82,-0.081945926838478,0.009,0.032,7.88E-78,AC108734.4,ECM
2.21E-82,-0.033206346113631,0,0.012,7.89E-78,RUNX2-AS1,ECM
2.24E-82,0.154876361878511,0.322,0.252,7.99E-78,PRPSAP2,MBM
2.28E-82,-0.048804312632606,0.263,0.213,8.11E-78,RBMS3-AS2,ECM
2.40E-82,0.04462129911014,0.018,0.002,8.56E-78,MAP3K21,MBM
2.57E-82,-0.072058724867938,0.013,0.041,9.17E-78,SLC7A11-AS1,ECM
2.75E-82,0.230555377606058,0.124,0.116,9.81E-78,RPS25,MBM
2.77E-82,0.141456714567224,0.198,0.208,9.88E-78,SNHG5,MBM
3.08E-82,0.178619531273114,0.148,0.104,1.10E-77,SPATA22,MBM
3.17E-82,-0.116568087798179,0.007,0.025,1.13E-77,AC012574.1,ECM
3.70E-82,-0.136078400455159,0.098,0.154,1.32E-77,SMAD1,ECM
3.72E-82,-0.033195851941924,0.001,0.016,1.32E-77,FUT1,ECM
4.42E-82,-0.078062832914507,0.027,0.06,1.58E-77,HOXC8,ECM
4.45E-82,0.172145123796434,0.263,0.208,1.59E-77,NUP85,MBM
4.76E-82,0.183000967702431,0.584,0.546,1.70E-77,MAPK1,MBM
5.09E-82,-0.143419841632769,0.225,0.3,1.81E-77,DNAJC21,ECM
5.73E-82,0.208944084211432,0.376,0.312,2.04E-77,ABCC1,MBM
6.05E-82,-0.12867082698488,0.182,0.186,2.16E-77,CTHRC1,ECM
6.18E-82,0.247608813493117,0.371,0.335,2.20E-77,CPNE8,MBM
6.86E-82,0.19509608100371,0.337,0.287,2.45E-77,SPDYE1,MBM
6.93E-82,0.19384649967527,0.281,0.232,2.47E-77,TP53,MBM
7.05E-82,-0.131622445699187,0.117,0.178,2.51E-77,RAP2A,ECM
7.05E-82,0.206206225819252,0.543,0.496,2.51E-77,ST3GAL3,MBM
7.11E-82,-0.078125724129407,0.012,0.038,2.53E-77,MYO3A,ECM
7.27E-82,0.221991324391611,0.823,0.829,2.59E-77,GPM6B,MBM
7.99E-82,-0.024420682157969,0.002,0.016,2.85E-77,HLA-G,ECM
8.49E-82,0.167909044579921,0.235,0.176,3.03E-77,RAVER2,MBM
8.51E-82,0.205873108887993,0.381,0.313,3.03E-77,STX6,MBM
8.53E-82,0.209014087331094,0.318,0.264,3.04E-77,CNNM2,MBM
8.54E-82,-0.106544525662671,0.141,0.204,3.04E-77,LRP10,ECM
9.09E-82,-0.13914366600917,0.079,0.132,3.24E-77,CMTM1,ECM
9.30E-82,-0.181601504685449,0.472,0.543,3.31E-77,GABPB1-AS1,ECM
9.30E-82,-0.136076750769786,0.099,0.155,3.32E-77,THBS4,ECM
1.10E-81,-0.183281895089906,0.302,0.377,3.90E-77,CHIC2,ECM
1.15E-81,-0.275710276065568,0.154,0.205,4.09E-77,HMGCS1,ECM
1.23E-81,0.153491259976783,0.293,0.276,4.37E-77,DENND1B,MBM
1.24E-81,-0.203606034951096,0.1,0.156,4.41E-77,TEC,ECM
1.46E-81,0.1855093776408,0.858,0.835,5.19E-77,PRKCE,MBM
1.53E-81,-0.132986865748402,0.177,0.246,5.45E-77,RNASEH1,ECM
1.55E-81,0.206429181100664,0.392,0.345,5.51E-77,CRTC1,MBM
1.55E-81,-0.047231354813836,0.006,0.027,5.53E-77,CHRDL1,ECM
1.55E-81,-0.033097098977189,0.073,0.055,5.53E-77,IGDCC4,ECM
1.59E-81,-0.128641566780355,0.087,0.136,5.67E-77,CPT1B,ECM
1.62E-81,-0.246616655680713,0.388,0.446,5.76E-77,ETV1,ECM
1.83E-81,0.202863043547151,0.407,0.337,6.54E-77,ZER1,MBM
1.97E-81,-0.223448520522511,0.362,0.431,7.02E-77,SNX30,ECM
2.02E-81,0.29937387660404,0.245,0.26,7.21E-77,OARD1,MBM
2.46E-81,-0.050741153139101,0.056,0.097,8.79E-77,CADM4,ECM
2.48E-81,0.223490902444894,0.195,0.142,8.84E-77,RHD,MBM
2.66E-81,0.199502106405841,0.563,0.509,9.48E-77,UBE2D2,MBM
2.85E-81,-0.165956877235322,0.232,0.305,1.02E-76,ERCC5,ECM
2.90E-81,0.193200285951567,0.145,0.101,1.04E-76,WWC1,MBM
2.92E-81,0.064482608960765,0.033,0.01,1.04E-76,AP006545.3,MBM
3.19E-81,-0.197610869982612,0.556,0.621,1.14E-76,ROCK2,ECM
3.60E-81,-0.227358003097673,0.254,0.307,1.28E-76,MSH2,ECM
3.64E-81,-0.030484577739128,0,0.011,1.30E-76,LINC02152,ECM
4.13E-81,0.172685871335746,0.661,0.643,1.47E-76,DOCK7,MBM
4.18E-81,-0.02233795758073,0,0.012,1.49E-76,NLRP11,ECM
4.57E-81,-0.096495785800189,0.101,0.161,1.63E-76,RABAC1,ECM
5.28E-81,-0.039803220248134,0.002,0.019,1.88E-76,LANCL3,ECM
5.63E-81,-0.043189528345416,0,0.012,2.01E-76,IL26,ECM
5.70E-81,0.286634590616723,0.238,0.218,2.03E-76,RPL6,MBM
5.90E-81,0.177295896658756,0.328,0.256,2.10E-76,MRRF,MBM
6.96E-81,0.161005012206342,0.232,0.193,2.48E-76,VPS28,MBM
7.30E-81,-0.093481365343241,0.02,0.05,2.60E-76,CD22,ECM
7.52E-81,-0.103115422255202,0.202,0.269,2.68E-76,CTSF,ECM
7.90E-81,0.0692952295773,0.033,0.011,2.82E-76,AC104827.1,MBM
8.19E-81,-0.078729966465032,0.116,0.173,2.92E-76,CUTA,ECM
8.74E-81,-0.1797666050156,0.401,0.481,3.12E-76,PABPN1,ECM
9.65E-81,0.176731233110376,0.288,0.231,3.44E-76,AARSD1,MBM
1.07E-80,0.165444169091603,0.217,0.168,3.83E-76,RRP7A,MBM
1.12E-80,-0.042846698189674,0.002,0.018,3.98E-76,AC009899.1,ECM
1.12E-80,-0.076493143569862,0.009,0.029,3.99E-76,AC068931.1,ECM
1.14E-80,-0.06877983221179,0.062,0.103,4.08E-76,EBF1,ECM
1.30E-80,-0.169968805449123,0.133,0.184,4.63E-76,BZW1,ECM
1.36E-80,-0.083198869622583,0.046,0.089,4.84E-76,SAMD13,ECM
1.39E-80,0.13137767310775,0.023,0.005,4.97E-76,ITGA8,MBM
1.41E-80,-0.077594466354709,0.005,0.023,5.02E-76,PALMD,ECM
1.45E-80,0.18058010655301,0.367,0.297,5.16E-76,ZMIZ2,MBM
1.47E-80,-0.143569257683031,0.082,0.133,5.25E-76,ADAMTS6,ECM
1.49E-80,-0.185784916056231,0.198,0.268,5.33E-76,SGO1-AS1,ECM
1.61E-80,0.115054092399448,0.117,0.068,5.75E-76,LRRC4,MBM
1.68E-80,0.165628872712822,0.187,0.139,5.98E-76,FAM162A,MBM
1.83E-80,-0.132443912634228,0.026,0.059,6.51E-76,LINC00944,ECM
1.95E-80,-0.025721485308943,0.001,0.013,6.96E-76,LINC01902,ECM
2.13E-80,-0.211504395269809,0.636,0.7,7.59E-76,SAMD4A,ECM
2.45E-80,0.228030894589539,0.413,0.338,8.74E-76,FLNA,MBM
2.47E-80,-0.090651973991809,0.016,0.044,8.82E-76,PACRG,ECM
2.56E-80,-0.019698617701451,0.001,0.015,9.13E-76,FABP6,ECM
2.66E-80,0.247485317501188,0.647,0.564,9.47E-76,SOX6,MBM
2.98E-80,0.196543990175987,0.266,0.204,1.06E-75,LRRN3,MBM
2.98E-80,0.205721913786741,0.315,0.255,1.06E-75,UQCRH,MBM
3.00E-80,-0.172293624214321,0.19,0.256,1.07E-75,NIPA1,ECM
3.07E-80,0.168172753886193,0.759,0.709,1.10E-75,BRAF,MBM
3.19E-80,-0.114649326379551,0.079,0.133,1.14E-75,DYRK2,ECM
4.16E-80,0.056219244835066,0.019,0.003,1.48E-75,PADI2,MBM
4.30E-80,-0.054664426465542,0.001,0.014,1.53E-75,AC060765.1,ECM
4.59E-80,-0.120713055406836,0.077,0.127,1.64E-75,CASP7,ECM
5.11E-80,0.172060006822749,0.17,0.14,1.82E-75,SYCP3,MBM
5.45E-80,-0.142089274033271,0.167,0.235,1.94E-75,AC005261.1,ECM
5.60E-80,0.060616820362792,0.033,0.009,2.00E-75,OR2A7,MBM
